province;red;green;blue;x;x
158;53;53;54;PLACEHOLDER158;x
159;53;54;54;PLACEHOLDER159;x
160;54;54;54;PLACEHOLDER160;x
161;54;54;55;PLACEHOLDER161;x
162;54;55;55;PLACEHOLDER162;x
163;55;55;55;PLACEHOLDER163;x
164;55;55;56;PLACEHOLDER164;x
165;55;56;56;PLACEHOLDER165;x
166;56;56;56;PLACEHOLDER166;x
167;56;56;57;PLACEHOLDER167;x
168;56;57;57;PLACEHOLDER168;x
169;57;57;57;PLACEHOLDER169;x
170;57;57;58;PLACEHOLDER170;x
171;57;58;58;PLACEHOLDER171;x
172;58;58;58;PLACEHOLDER172;x
173;58;58;59;PLACEHOLDER173;x
174;58;59;59;PLACEHOLDER174;x
175;59;59;59;PLACEHOLDER175;x
176;59;59;60;PLACEHOLDER176;x
177;59;60;60;PLACEHOLDER177;x
178;60;60;60;PLACEHOLDER178;x
179;60;60;61;PLACEHOLDER179;x
180;60;61;61;PLACEHOLDER180;x
181;61;61;61;PLACEHOLDER181;x
182;61;61;62;PLACEHOLDER182;x
183;61;62;62;PLACEHOLDER183;x
184;62;62;62;PLACEHOLDER184;x
185;62;62;63;PLACEHOLDER185;x
186;62;63;63;PLACEHOLDER186;x
187;63;63;63;PLACEHOLDER187;x
188;63;63;64;PLACEHOLDER188;x
189;63;64;64;PLACEHOLDER189;x
190;64;64;64;PLACEHOLDER190;x
191;64;64;65;PLACEHOLDER191;x
192;64;65;65;PLACEHOLDER192;x
193;65;65;65;PLACEHOLDER193;x
194;65;65;66;PLACEHOLDER194;x
195;65;66;66;PLACEHOLDER195;x
196;66;66;66;PLACEHOLDER196;x
197;66;66;67;PLACEHOLDER197;x
198;66;67;67;PLACEHOLDER198;x
199;67;67;67;PLACEHOLDER199;x
200;67;67;68;PLACEHOLDER200;x
201;67;68;68;PLACEHOLDER201;x
202;68;68;68;PLACEHOLDER202;x
203;68;68;69;PLACEHOLDER203;x
204;68;69;69;PLACEHOLDER204;x
205;69;69;69;PLACEHOLDER205;x
206;69;69;70;PLACEHOLDER206;x
207;69;70;70;PLACEHOLDER207;x
208;70;70;70;PLACEHOLDER208;x
209;70;70;71;PLACEHOLDER209;x
210;70;71;71;PLACEHOLDER210;x
211;71;71;71;PLACEHOLDER211;x
212;71;71;72;PLACEHOLDER212;x
213;71;72;72;PLACEHOLDER213;x
214;72;72;72;PLACEHOLDER214;x
215;72;72;73;PLACEHOLDER215;x
216;72;73;73;PLACEHOLDER216;x
217;73;73;73;PLACEHOLDER217;x
218;73;73;74;PLACEHOLDER218;x
219;73;74;74;PLACEHOLDER219;x
220;74;74;74;PLACEHOLDER220;x
221;74;74;75;PLACEHOLDER221;x
222;74;75;75;PLACEHOLDER222;x
223;75;75;75;PLACEHOLDER223;x
224;75;75;76;PLACEHOLDER224;x
225;75;76;76;PLACEHOLDER225;x
226;76;76;76;PLACEHOLDER226;x
227;76;76;77;PLACEHOLDER227;x
228;76;77;77;PLACEHOLDER228;x
229;77;77;77;PLACEHOLDER229;x
230;77;77;78;PLACEHOLDER230;x
231;77;78;78;PLACEHOLDER231;x
232;78;78;78;PLACEHOLDER232;x
233;78;78;79;PLACEHOLDER233;x
234;78;79;79;PLACEHOLDER234;x
235;79;79;79;PLACEHOLDER235;x
236;79;79;80;PLACEHOLDER236;x
237;79;80;80;PLACEHOLDER237;x
238;80;80;80;PLACEHOLDER238;x
239;80;80;81;PLACEHOLDER239;x
240;80;81;81;PLACEHOLDER240;x
241;81;81;81;PLACEHOLDER241;x
242;81;81;82;PLACEHOLDER242;x
243;81;82;82;PLACEHOLDER243;x
244;82;82;82;PLACEHOLDER244;x
245;82;82;83;PLACEHOLDER245;x
246;82;83;83;PLACEHOLDER246;x
247;83;83;83;PLACEHOLDER247;x
248;83;83;84;PLACEHOLDER248;x
249;83;84;84;PLACEHOLDER249;x
250;84;84;84;PLACEHOLDER250;x
251;84;84;85;PLACEHOLDER251;x
252;84;85;85;PLACEHOLDER252;x
253;85;85;85;PLACEHOLDER253;x
254;85;85;86;PLACEHOLDER254;x
255;85;86;86;PLACEHOLDER255;x
256;86;86;86;PLACEHOLDER256;x
257;86;86;87;PLACEHOLDER257;x
258;86;87;87;PLACEHOLDER258;x
259;87;87;87;PLACEHOLDER259;x
260;87;87;88;PLACEHOLDER260;x
261;87;88;88;PLACEHOLDER261;x
262;88;88;88;PLACEHOLDER262;x
263;88;88;89;PLACEHOLDER263;x
264;88;89;89;PLACEHOLDER264;x
265;89;89;89;PLACEHOLDER265;x
266;89;89;90;PLACEHOLDER266;x
267;89;90;90;PLACEHOLDER267;x
268;90;90;90;PLACEHOLDER268;x
269;90;90;91;PLACEHOLDER269;x
270;90;91;91;PLACEHOLDER270;x
271;91;91;91;PLACEHOLDER271;x
272;91;91;92;PLACEHOLDER272;x
273;91;92;92;PLACEHOLDER273;x
274;92;92;92;PLACEHOLDER274;x
275;92;92;93;PLACEHOLDER275;x
276;92;93;93;PLACEHOLDER276;x
277;93;93;93;PLACEHOLDER277;x
278;93;93;94;PLACEHOLDER278;x
279;93;94;94;PLACEHOLDER279;x
280;94;94;94;PLACEHOLDER280;x
281;94;94;95;PLACEHOLDER281;x
282;94;95;95;PLACEHOLDER282;x
283;95;95;95;PLACEHOLDER283;x
284;95;95;96;PLACEHOLDER284;x
285;95;96;96;PLACEHOLDER285;x
286;96;96;96;PLACEHOLDER286;x
287;96;96;97;PLACEHOLDER287;x
288;96;97;97;PLACEHOLDER288;x
289;97;97;97;PLACEHOLDER289;x
290;97;97;98;PLACEHOLDER290;x
291;97;98;98;PLACEHOLDER291;x
292;98;98;98;PLACEHOLDER292;x
293;98;98;99;PLACEHOLDER293;x
294;98;99;99;PLACEHOLDER294;x
295;99;99;99;PLACEHOLDER295;x
296;99;99;100;PLACEHOLDER296;x
297;99;100;100;PLACEHOLDER297;x
298;100;100;100;PLACEHOLDER298;x
299;100;100;101;PLACEHOLDER299;x
300;100;101;101;PLACEHOLDER300;x
301;101;101;101;PLACEHOLDER301;x
302;101;101;102;PLACEHOLDER302;x
303;101;102;102;PLACEHOLDER303;x
304;102;102;102;PLACEHOLDER304;x
305;102;102;103;PLACEHOLDER305;x
306;102;103;103;PLACEHOLDER306;x
307;103;103;103;PLACEHOLDER307;x
308;103;103;104;PLACEHOLDER308;x
309;103;104;104;PLACEHOLDER309;x
310;104;104;104;PLACEHOLDER310;x
311;104;104;105;PLACEHOLDER311;x
312;104;105;105;PLACEHOLDER312;x
313;105;105;105;PLACEHOLDER313;x
314;105;105;106;PLACEHOLDER314;x
315;105;106;106;PLACEHOLDER315;x
316;106;106;106;PLACEHOLDER316;x
317;106;106;107;PLACEHOLDER317;x
318;106;107;107;PLACEHOLDER318;x
319;107;107;107;PLACEHOLDER319;x
320;107;107;108;PLACEHOLDER320;x
321;107;108;108;PLACEHOLDER321;x
322;108;108;108;PLACEHOLDER322;x
323;108;108;109;PLACEHOLDER323;x
324;108;109;109;PLACEHOLDER324;x
325;109;109;109;PLACEHOLDER325;x
326;109;109;110;PLACEHOLDER326;x
327;109;110;110;PLACEHOLDER327;x
328;110;110;110;PLACEHOLDER328;x
329;110;110;111;PLACEHOLDER329;x
330;110;111;111;PLACEHOLDER330;x
331;111;111;111;PLACEHOLDER331;x
332;111;111;112;PLACEHOLDER332;x
333;111;112;112;PLACEHOLDER333;x
334;112;112;112;PLACEHOLDER334;x
335;112;112;113;PLACEHOLDER335;x
336;112;113;113;PLACEHOLDER336;x
337;113;113;113;PLACEHOLDER337;x
338;113;113;114;PLACEHOLDER338;x
339;113;114;114;PLACEHOLDER339;x
340;114;114;114;PLACEHOLDER340;x
341;114;114;115;PLACEHOLDER341;x
342;114;115;115;PLACEHOLDER342;x
343;115;115;115;PLACEHOLDER343;x
344;115;115;116;PLACEHOLDER344;x
345;115;116;116;PLACEHOLDER345;x
346;116;116;116;PLACEHOLDER346;x
347;116;116;117;PLACEHOLDER347;x
348;116;117;117;PLACEHOLDER348;x
349;117;117;117;PLACEHOLDER349;x
350;117;117;118;PLACEHOLDER350;x
351;117;118;118;PLACEHOLDER351;x
352;118;118;118;PLACEHOLDER352;x
353;118;118;119;PLACEHOLDER353;x
354;118;119;119;PLACEHOLDER354;x
355;119;119;119;PLACEHOLDER355;x
356;119;119;120;PLACEHOLDER356;x
357;119;120;120;PLACEHOLDER357;x
358;120;120;120;PLACEHOLDER358;x
359;120;120;121;PLACEHOLDER359;x
360;120;121;121;PLACEHOLDER360;x
361;121;121;121;PLACEHOLDER361;x
362;121;121;122;PLACEHOLDER362;x
363;121;122;122;PLACEHOLDER363;x
364;122;122;122;PLACEHOLDER364;x
365;122;122;123;PLACEHOLDER365;x
366;122;123;123;PLACEHOLDER366;x
367;123;123;123;PLACEHOLDER367;x
368;123;123;124;PLACEHOLDER368;x
369;123;124;124;PLACEHOLDER369;x
370;124;124;124;PLACEHOLDER370;x
371;124;124;125;PLACEHOLDER371;x
372;124;125;125;PLACEHOLDER372;x
373;125;125;125;PLACEHOLDER373;x
374;125;125;126;PLACEHOLDER374;x
375;125;126;126;PLACEHOLDER375;x
376;126;126;126;PLACEHOLDER376;x
377;126;126;127;PLACEHOLDER377;x
378;126;127;127;PLACEHOLDER378;x
379;127;127;127;PLACEHOLDER379;x
380;127;127;128;PLACEHOLDER380;x
381;127;128;128;PLACEHOLDER381;x
382;128;128;128;PLACEHOLDER382;x
383;128;128;129;PLACEHOLDER383;x
384;128;129;129;PLACEHOLDER384;x
385;129;129;129;PLACEHOLDER385;x
386;129;129;130;PLACEHOLDER386;x
387;129;130;130;PLACEHOLDER387;x
388;130;130;130;PLACEHOLDER388;x
389;130;130;131;PLACEHOLDER389;x
390;130;131;131;PLACEHOLDER390;x
391;131;131;131;PLACEHOLDER391;x
392;131;131;132;PLACEHOLDER392;x
393;131;132;132;PLACEHOLDER393;x
394;132;132;132;PLACEHOLDER394;x
395;132;132;133;PLACEHOLDER395;x
396;132;133;133;PLACEHOLDER396;x
397;133;133;133;PLACEHOLDER397;x
398;133;133;134;PLACEHOLDER398;x
399;133;134;134;PLACEHOLDER399;x
400;134;134;134;PLACEHOLDER400;x
401;134;134;135;PLACEHOLDER401;x
402;134;135;135;PLACEHOLDER402;x
403;135;135;135;PLACEHOLDER403;x
404;135;135;136;PLACEHOLDER404;x
405;135;136;136;PLACEHOLDER405;x
406;136;136;136;PLACEHOLDER406;x
407;136;136;137;PLACEHOLDER407;x
408;136;137;137;PLACEHOLDER408;x
409;137;137;137;PLACEHOLDER409;x
410;137;137;138;PLACEHOLDER410;x
411;137;138;138;PLACEHOLDER411;x
412;138;138;138;PLACEHOLDER412;x
413;138;138;139;PLACEHOLDER413;x
414;138;139;139;PLACEHOLDER414;x
415;139;139;139;PLACEHOLDER415;x
416;139;139;140;PLACEHOLDER416;x
417;139;140;140;PLACEHOLDER417;x
418;140;140;140;PLACEHOLDER418;x
419;140;140;141;PLACEHOLDER419;x
420;140;141;141;PLACEHOLDER420;x
421;141;141;141;PLACEHOLDER421;x
422;141;141;142;PLACEHOLDER422;x
423;141;142;142;PLACEHOLDER423;x
424;142;142;142;PLACEHOLDER424;x
425;142;142;143;PLACEHOLDER425;x
426;142;143;143;PLACEHOLDER426;x
427;143;143;143;PLACEHOLDER427;x
428;143;143;144;PLACEHOLDER428;x
429;143;144;144;PLACEHOLDER429;x
430;144;144;144;PLACEHOLDER430;x
431;144;144;145;PLACEHOLDER431;x
432;144;145;145;PLACEHOLDER432;x
433;145;145;145;PLACEHOLDER433;x
434;145;145;146;PLACEHOLDER434;x
435;145;146;146;PLACEHOLDER435;x
436;146;146;146;PLACEHOLDER436;x
437;146;146;147;PLACEHOLDER437;x
438;146;147;147;PLACEHOLDER438;x
439;147;147;147;PLACEHOLDER439;x
440;147;147;148;PLACEHOLDER440;x
441;147;148;148;PLACEHOLDER441;x
442;148;148;148;PLACEHOLDER442;x
443;148;148;149;PLACEHOLDER443;x
444;148;149;149;PLACEHOLDER444;x
445;149;149;149;PLACEHOLDER445;x
446;149;149;150;PLACEHOLDER446;x
447;149;150;150;PLACEHOLDER447;x
448;150;150;150;PLACEHOLDER448;x
449;150;150;151;PLACEHOLDER449;x
450;150;151;151;PLACEHOLDER450;x
451;151;151;151;PLACEHOLDER451;x
452;151;151;152;PLACEHOLDER452;x
453;151;152;152;PLACEHOLDER453;x
454;152;152;152;PLACEHOLDER454;x
455;152;152;153;PLACEHOLDER455;x
456;152;153;153;PLACEHOLDER456;x
457;153;153;153;PLACEHOLDER457;x
458;153;153;154;PLACEHOLDER458;x
459;153;154;154;PLACEHOLDER459;x
460;154;154;154;PLACEHOLDER460;x
461;154;154;155;PLACEHOLDER461;x
462;154;155;155;PLACEHOLDER462;x
463;155;155;155;PLACEHOLDER463;x
464;155;155;156;PLACEHOLDER464;x
465;155;156;156;PLACEHOLDER465;x
466;156;156;156;PLACEHOLDER466;x
467;156;156;157;PLACEHOLDER467;x
468;156;157;157;PLACEHOLDER468;x
469;157;157;157;PLACEHOLDER469;x
470;157;157;158;PLACEHOLDER470;x
471;157;158;158;PLACEHOLDER471;x
472;158;158;158;PLACEHOLDER472;x
473;158;158;159;PLACEHOLDER473;x
474;158;159;159;PLACEHOLDER474;x
475;159;159;159;PLACEHOLDER475;x
476;159;159;160;PLACEHOLDER476;x
477;159;160;160;PLACEHOLDER477;x
478;160;160;160;PLACEHOLDER478;x
479;160;160;161;PLACEHOLDER479;x
480;160;161;161;PLACEHOLDER480;x
481;161;161;161;PLACEHOLDER481;x
482;161;161;162;PLACEHOLDER482;x
483;161;162;162;PLACEHOLDER483;x
484;162;162;162;PLACEHOLDER484;x
485;162;162;163;PLACEHOLDER485;x
486;162;163;163;PLACEHOLDER486;x
487;163;163;163;PLACEHOLDER487;x
488;163;163;164;PLACEHOLDER488;x
489;163;164;164;PLACEHOLDER489;x
490;164;164;164;PLACEHOLDER490;x
491;164;164;165;PLACEHOLDER491;x
492;164;165;165;PLACEHOLDER492;x
493;165;165;165;PLACEHOLDER493;x
494;165;165;166;PLACEHOLDER494;x
495;165;166;166;PLACEHOLDER495;x
496;166;166;166;PLACEHOLDER496;x
497;166;166;167;PLACEHOLDER497;x
498;166;167;167;PLACEHOLDER498;x
499;167;167;167;PLACEHOLDER499;x
500;167;167;168;PLACEHOLDER500;x
501;167;168;168;PLACEHOLDER501;x
502;168;168;168;PLACEHOLDER502;x
503;168;168;169;PLACEHOLDER503;x
504;168;169;169;PLACEHOLDER504;x
505;169;169;169;PLACEHOLDER505;x
506;169;169;170;PLACEHOLDER506;x
507;169;170;170;PLACEHOLDER507;x
508;170;170;170;PLACEHOLDER508;x
509;170;170;171;PLACEHOLDER509;x
510;170;171;171;PLACEHOLDER510;x
511;171;171;171;PLACEHOLDER511;x
512;171;171;172;PLACEHOLDER512;x
513;171;172;172;PLACEHOLDER513;x
514;172;172;172;PLACEHOLDER514;x
515;172;172;173;PLACEHOLDER515;x
516;172;173;173;PLACEHOLDER516;x
517;173;173;173;PLACEHOLDER517;x
518;173;173;174;PLACEHOLDER518;x
519;173;174;174;PLACEHOLDER519;x
520;174;174;174;PLACEHOLDER520;x
521;174;174;175;PLACEHOLDER521;x
522;174;175;175;PLACEHOLDER522;x
523;175;175;175;PLACEHOLDER523;x
524;175;175;176;PLACEHOLDER524;x
525;175;176;176;PLACEHOLDER525;x
526;176;176;176;PLACEHOLDER526;x
527;176;176;177;PLACEHOLDER527;x
528;176;177;177;PLACEHOLDER528;x
529;177;177;177;PLACEHOLDER529;x
530;177;177;178;PLACEHOLDER530;x
531;177;178;178;PLACEHOLDER531;x
532;178;178;178;PLACEHOLDER532;x
533;178;178;179;PLACEHOLDER533;x
534;178;179;179;PLACEHOLDER534;x
535;179;179;179;PLACEHOLDER535;x
536;179;179;180;PLACEHOLDER536;x
537;179;180;180;PLACEHOLDER537;x
538;180;180;180;PLACEHOLDER538;x
539;180;180;181;PLACEHOLDER539;x
540;180;181;181;PLACEHOLDER540;x
541;181;181;181;PLACEHOLDER541;x
542;181;181;182;PLACEHOLDER542;x
543;181;182;182;PLACEHOLDER543;x
544;182;182;182;PLACEHOLDER544;x
545;182;182;183;PLACEHOLDER545;x
546;182;183;183;PLACEHOLDER546;x
547;183;183;183;PLACEHOLDER547;x
548;183;183;184;PLACEHOLDER548;x
549;183;184;184;PLACEHOLDER549;x
550;184;184;184;PLACEHOLDER550;x
551;184;184;185;PLACEHOLDER551;x
552;184;185;185;PLACEHOLDER552;x
553;185;185;185;PLACEHOLDER553;x
554;185;185;186;PLACEHOLDER554;x
555;185;186;186;PLACEHOLDER555;x
556;186;186;186;PLACEHOLDER556;x
557;186;186;187;PLACEHOLDER557;x
558;186;187;187;PLACEHOLDER558;x
559;187;187;187;PLACEHOLDER559;x
560;187;187;188;PLACEHOLDER560;x
561;187;188;188;PLACEHOLDER561;x
562;188;188;188;PLACEHOLDER562;x
563;188;188;189;PLACEHOLDER563;x
564;188;189;189;PLACEHOLDER564;x
565;189;189;189;PLACEHOLDER565;x
566;189;189;190;PLACEHOLDER566;x
567;189;190;190;PLACEHOLDER567;x
568;190;190;190;PLACEHOLDER568;x
569;190;190;191;PLACEHOLDER569;x
570;190;191;191;PLACEHOLDER570;x
571;191;191;191;PLACEHOLDER571;x
572;191;191;192;PLACEHOLDER572;x
573;191;192;192;PLACEHOLDER573;x
574;192;192;192;PLACEHOLDER574;x
575;192;192;193;PLACEHOLDER575;x
576;192;193;193;PLACEHOLDER576;x
577;193;193;193;PLACEHOLDER577;x
578;193;193;194;PLACEHOLDER578;x
579;193;194;194;PLACEHOLDER579;x
580;194;194;194;PLACEHOLDER580;x
581;194;194;195;PLACEHOLDER581;x
582;194;195;195;PLACEHOLDER582;x
583;195;195;195;PLACEHOLDER583;x
584;195;195;196;PLACEHOLDER584;x
585;195;196;196;PLACEHOLDER585;x
586;196;196;196;PLACEHOLDER586;x
587;196;196;197;PLACEHOLDER587;x
588;196;197;197;PLACEHOLDER588;x
589;197;197;197;PLACEHOLDER589;x
590;197;197;198;PLACEHOLDER590;x
591;197;198;198;PLACEHOLDER591;x
592;198;198;198;PLACEHOLDER592;x
593;198;198;199;PLACEHOLDER593;x
594;198;199;199;PLACEHOLDER594;x
595;199;199;199;PLACEHOLDER595;x
596;199;199;200;PLACEHOLDER596;x
597;199;200;200;PLACEHOLDER597;x
598;200;200;200;PLACEHOLDER598;x
599;200;200;201;PLACEHOLDER599;x
600;200;201;201;PLACEHOLDER600;x
601;201;201;201;PLACEHOLDER601;x
602;201;201;202;PLACEHOLDER602;x
603;201;202;202;PLACEHOLDER603;x
604;202;202;202;PLACEHOLDER604;x
605;202;202;203;PLACEHOLDER605;x
606;202;203;203;PLACEHOLDER606;x
607;203;203;203;PLACEHOLDER607;x
608;203;203;204;PLACEHOLDER608;x
609;203;204;204;PLACEHOLDER609;x
610;204;204;204;PLACEHOLDER610;x
611;204;204;205;PLACEHOLDER611;x
612;204;205;205;PLACEHOLDER612;x
613;205;205;205;PLACEHOLDER613;x
614;205;205;206;PLACEHOLDER614;x
615;205;206;206;PLACEHOLDER615;x
616;206;206;206;PLACEHOLDER616;x
617;206;206;207;PLACEHOLDER617;x
618;206;207;207;PLACEHOLDER618;x
619;207;207;207;PLACEHOLDER619;x
620;207;207;208;PLACEHOLDER620;x
621;207;208;208;PLACEHOLDER621;x
622;208;208;208;PLACEHOLDER622;x
623;208;208;209;PLACEHOLDER623;x
624;208;209;209;PLACEHOLDER624;x
625;209;209;209;PLACEHOLDER625;x
626;209;209;210;PLACEHOLDER626;x
627;209;210;210;PLACEHOLDER627;x
628;210;210;210;PLACEHOLDER628;x
629;210;210;211;PLACEHOLDER629;x
630;210;211;211;PLACEHOLDER630;x
631;211;211;211;PLACEHOLDER631;x
632;211;211;212;PLACEHOLDER632;x
633;211;212;212;PLACEHOLDER633;x
634;212;212;212;PLACEHOLDER634;x
635;212;212;213;PLACEHOLDER635;x
636;212;213;213;PLACEHOLDER636;x
637;213;213;213;PLACEHOLDER637;x
638;213;213;214;PLACEHOLDER638;x
639;213;214;214;PLACEHOLDER639;x
640;214;214;214;PLACEHOLDER640;x
641;214;214;215;PLACEHOLDER641;x
642;214;215;215;PLACEHOLDER642;x
643;215;215;215;PLACEHOLDER643;x
644;215;215;216;PLACEHOLDER644;x
645;215;216;216;PLACEHOLDER645;x
646;216;216;216;PLACEHOLDER646;x
647;216;216;217;PLACEHOLDER647;x
648;216;217;217;PLACEHOLDER648;x
649;217;217;217;PLACEHOLDER649;x
650;217;217;218;PLACEHOLDER650;x
651;217;218;218;PLACEHOLDER651;x
652;218;218;218;PLACEHOLDER652;x
653;218;218;219;PLACEHOLDER653;x
654;218;219;219;PLACEHOLDER654;x
655;219;219;219;PLACEHOLDER655;x
656;219;219;220;PLACEHOLDER656;x
657;219;220;220;PLACEHOLDER657;x
658;220;220;220;PLACEHOLDER658;x
659;220;220;221;PLACEHOLDER659;x
660;220;221;221;PLACEHOLDER660;x
661;221;221;221;PLACEHOLDER661;x
662;221;221;222;PLACEHOLDER662;x
663;221;222;222;PLACEHOLDER663;x
664;222;222;222;PLACEHOLDER664;x
665;222;222;223;PLACEHOLDER665;x
